ProfileName,TransactionDate,TransactionAmount,TransactionNarrative,TransactionDescription,TransactionID,TransactionType,WalletReference
"Card Campaign","2014-01-12 16:11:06",-10000,"CHOPPIES KANYE            JOHANNESBURG  BW",DEDUCT,0304012438663663,1,P_NzY1NDY1MzRfMTM4NzI4NjgyNy42NzM1,
"Card Campaign","2014-01-12 16:11:45",-9455,"Choppies Hyper R100256    Lobatse       BW",DEDUCT,0284012584863807,0,P_Nzc0MDM2NjVfMTM3OTA2NzA4MC44Nzk5,
"Card Campaign","2014-01-12 16:12:27",-14998,"582524 JET RAILWAYS ARIL  BOTSWANA      BW",DEDUCT,0004012439474137,0,P_NzQzNjAxNTlfMTM4NjIzNjEzMS4wNzQ5,
"Card Campaign","2014-01-12 16:16:05",-20000,"*TLOKWENG                 TLOKWENG      BW",DEDUCT,0584012585653151,1,P_NzI2NTE1NjdfMTM3ODQ3NjU1Ni42MDky,
"Card Campaign","2014-01-12 16:16:22",-50000,"BROADHURST INDUSTRIAL     BROADHURST    BW",DEDUCT,0384012441820963,1,P_NzI0Nzg0MDhfMTM3ODk4NTM3Ny4yMDIz,
"Card Campaign","2014-01-12 16:16:56",-10000,"PALM GROVE ATM            GABORONE      BW",DEDUCT,0384012442179699,1,P_NzY5MTUzNDZfMTM4OTM1NTE2Ny4yNzY3,
"Card Campaign","2014-01-12 16:16:57",-10000,"*TLOKWENG                 TLOKWENG      BW",DEDUCT,0384012586184024,1,P_NzI2NTE1NjdfMTM3ODQ3NjU1Ni42MDky,
"Card Campaign","2014-01-12 16:18:25",-35000,"*PALAPYE ENGEN            PALAPYE       BW",DEDUCT,0384012587059924,1,P_NzI5MTc3NzdfMTM4MDUyOTMyOS4wNjI4,
"Card Campaign","2014-01-12 16:20:10",-50000,"*TONOTA                   FRANCISTOWN   BW",DEDUCT,0584012588105302,1,P_NzI4Njk3MTBfMTM4MTQ5MTEwNy4wNTMy,
"Card Campaign","2014-01-12 16:22:18",-60000,"PHAKALANE PUMA FILLIN     BOTSWANA      BW",DEDUCT,0464012445387784,1,P_NzI3NzQ3MTNfMTM3NjY1NTQ5OC45MDQ3,
"Card Campaign","2014-01-12 16:24:25",-10000,"NO MATHATA                GABORONE      BW",DEDUCT,0584012447654666,1,P_NzIyNzI1OTBfMTM3OTQzMzA4Ny45Mzcz,
"Card Campaign","2014-01-12 16:25:12",-9000,"*BDF GLEN VALLEY          GABORONE      BW",DEDUCT,0384012591136348,1,P_NzQ0MzAyOTlfMTM4MTE2MTE3MC4xOTk4,
"Card Campaign","2014-01-12 16:25:37",-50000,"SEROWE BRANCH             SEROWE        BW",DEDUCT,0304012448365830,1,P_NzU3NTE5NDdfMTM4MTMyNDUyMi45NTc4,
"Card Campaign","2014-01-12 16:25:37",-20954,"ENGEN WIRED              GABARONE       BW",DEDUCT,0528738473949230,1,P_NzUI4398F03ghjffMOIF8340Mi45NTc4,
"Card Campaign","2014-01-12 21:00:45",-8000,"KWENA MALL                GABORONE      BW",DEDUCT,0304012613455263,1,P_NzUzMjc1MjhfMTM3ODIyMzM2Ni43NzY5,
"Card Campaign","2014-01-12 21:00:55",-10000,"MAHALAPYE BRANCH          BOTSWANA      BW",DEDUCT,0464012612559453,1,P_NzIzNzYyMzNfMTM4NTcxMzk5MS40NDI2,
"Card Campaign","2014-01-12 21:01:35",-10000,"MAHALAPYE BRANCH          BOTSWANA      BW",DEDUCT,0304012612954791,1,P_NzIzNzYyMzNfMTM4NTcxMzk5MS40NDI2,
"Card Campaign","2014-01-12 21:06:43",-5800,"783497 MAFENYATLALA SUPER BOTSWANA      BW",DEDUCT,0284012616037925,0,P_NzI4MDY2MzBfMTM4Mjc3NTgyNC40Mzc1,
"Card Campaign","2014-01-12 21:10:14",-15640,"383512 CHOPPIES BONNINGTO BOTSWANA      BW",DEDUCT,0004012618141010,0,P_NzUyMjg5MDFfMTM3ODAxOTIxOC44ODcy,
"Card Campaign","2014-01-12 21:10:36",-10000,"462506 OK FOODS-LOBATSE   BOTSWANA      BW",DEDUCT,0284012618361902,0,P_NzY1NTkxMDBfMTM3NjAzOTYxNC4yNA==,
"Card Campaign","2014-01-12 21:26:52",-2000,"KWENA MALL                GABORONE      BW",DEDUCT,0384012629122783,1,P_NzUzMjc1MjhfMTM3ODIyMzM2Ni43NzY5,
"Card Campaign","2014-01-12 21:29:18",-13490,"926617 NANDOS PALAPYE     BOTSWANA      BW",DEDUCT,0004012629583503,0,P_NzIyMjgxNzZfMTM4NTAyOTI5NC41OTc=,
"Card Campaign","2014-01-12 21:35:14",-5630,"495290 PAYLESS            BOTSWANA      BW",DEDUCT,0284012633146904,0,P_NzI3NjA0MDBfMTM4NzM3NDc3Mi44Nzk=,
"Card Campaign","2014-01-12 21:38:15",-5000,"ATM CENTRE BRANCH ATM     BOTSWANA      BW",DEDUCT,0304012634958577,1,P_NzI3MzE2MTZfMTM3NjY2MjQxMC4zODgy,
"Card Campaign","2014-01-12 21:39:05",-20000,"390780 KAYS SERVICE STATI BOTSWANA      BW",DEDUCT,0084012635456730,0,P_NzIxMTI2NzBfMTM3OTk0MjI5NC41Mjk0,
